No.,Date,Name,Language,Year,Good?,N'th time of watching,Location,Director,Runtime,Genre,TMDb_Rating,Release_Year,Overview,API_Status,Var
134,26/12/19,Gold,English,2016,,,Home,Stephen Gaghan,120 min,"Adventure, Drama, Thriller",6.6,2016,"Kenny Wells, a modern-day prospector, hustler, and dreamer, is desperate for a lucky break. Left with few options, Wells teams up with an equally luckless geologist to execute a grandiose, last-ditch effort: to find gold deep in the uncharted jungle of Indonesia.",Found,0
133,25/12/19,Zombieland Double Tap,English,2019,Good,,Home,Ruben Fleischer,99 min,"Horror, Comedy, Action",6.915,2019,"Columbus, Tallahassee, Wichita, and Little Rock move to the American heartland as they face off against evolved zombies, fellow survivors, and the growing pains of the snarky makeshift family.",Found,
132,25/12/19,Zombieland,English,2009,Good,,Home,Ruben Fleischer,88 min,"Comedy, Horror",7.258,2009,"Columbus has made a habit of running from what scares him. Tallahassee doesn't have fears. If he did, he'd kick their ever-living ass. In a world overrun by zombies, these two are perfectly evolved survivors. But now, they're about to stare down the most terrifying prospect of all: each other.",Found,
131,17/12/19,Joker,English,2019,,,Home,Todd Phillips,122 min,"Crime, Thriller, Drama",8.128,2019,"During the 1980s, a failed stand-up comedian is driven insane and turns to a life of crime and chaos in Gotham City while becoming an infamous psychopathic crime figure.",Found,0
130,16/12/19,6 Underground,English,2019,,,Home,Michael Bay,128 min,"Action, Comedy, Thriller",6.344,2019,"After faking his death, a tech billionaire recruits a team of international operatives for a bold and bloody mission to take down a brutal dictator.",Found,
129,15/12/19,A Silent Voice,Japanese,2016,,,Home,Naoko Yamada,129 min,"Animation, Drama, Romance",8.387,2016,"Shouya Ishida starts bullying the new girl in class, Shouko Nishimiya, because she is deaf. But as the teasing continues, the rest of the class starts to turn on Shouya for his lack of compassion. When they leave elementary school, Shouko and Shouya do not speak to each other again... until an older, wiser Shouya, tormented by his past behaviour, decides he must see Shouko once more. He wants to atone for his sins, but is it already too late...?",Found,
128,15/12/19,No Country for Old Men,English,2007,Good,,Home,"Joel Coen, Ethan Coen",122 min,"Crime, Thriller, Western",7.946,2007,"Llewelyn Moss stumbles upon dead bodies, $2 million and a hoard of heroin in a Texas desert, but methodical killer Anton Chigurh comes looking for it, with local sheriff Ed Tom Bell hot on his trail. The roles of prey and predator blur as the violent pursuit of money and justice collide.",Found,
127,15/12/19,Dream Girl,Hindi,2019,,,Home,Raaj Shaandilyaa,142 min,"Romance, Comedy",6.3,2019,"Desperate to find employment, Karam picks up a job as ‘Pooja’ at a call center for sex chats, keeping most people in his life in the dark about the nature of his work. How long can he keep it up before everyone including his girlfriend and father find out?",Found,0
126,09/12/19,Ready or not,English,2019,,,Home,"Matt Bettinelli-Olpin, Tyler Gillett",95 min,"Horror, Comedy",7.0,2019,A young bride's wedding night turns into her worst nightmare when her ridiculously rich in-laws force her to play a gruesome game of hide-and-seek.,Found,0
125,08/12/19,The Irishman,English,2019,,,Home,Martin Scorsese,209 min,"Crime, Drama, History",7.579,2019,"Pennsylvania, 1956. Frank Sheeran, a war veteran of Irish origin who works as a truck driver, accidentally meets mobster Russell Bufalino. Once Frank becomes his trusted man, Bufalino sends him to Chicago with the task of helping Jimmy Hoffa, a powerful union leader related to organized crime, with whom Frank will maintain a close friendship for nearly twenty years.",Found,0
124,06/12/19,Ad Astra,English,2019,,,Home,James Gray,123 min,"Science Fiction, Drama",6.124,2019,"The near future, a time when both hope and hardships drive humanity to look to the stars and beyond. While a mysterious phenomenon menaces to destroy life on planet Earth, astronaut Roy McBride undertakes a mission across the immensity of space and its many perils to uncover the truth about a lost expedition that decades before boldly faced emptiness and silence in search of the unknown.",Found,0
123,03/12/19,Once upon a time in Hollywood,English,2019,,,Home,Quentin Tarantino,162 min,"Comedy, Drama, Thriller",7.426,2019,"Los Angeles, 1969. TV star Rick Dalton, a struggling actor specializing in westerns, and stuntman Cliff Booth, his best friend, try to survive in a constantly changing movie industry. Dalton is the neighbor of the young and promising actress and model Sharon Tate, who has just married the prestigious Polish director Roman Polanski…",Found,
122,27/11/19,Hustlers,English,2019,,,Home,Lorene Scafaria,110 min,"Drama, Comedy, Crime",6.473,2019,A crew of savvy former strip club employees band together to turn the tables on their Wall Street clients.,Found,
121,26/11/19,Before Midnight,English,2013,,,Home,Richard Linklater,109 min,"Romance, Drama",7.504,2013,"It has been nine years since we last met Jesse and Celine, the French-American couple who once met on a train in Vienna. They now live in Paris with twin daughters but have spent a summer in Greece at the invitation of an author colleague of Jesse's. When the vacation is over and Jesse must send his teenage son off to the States, he begins to question his life decisions, and his relationship with Celine is at risk.",Found,
120,25/11/19,Kaithi,Tamil,2019,Good,,Home,Lokesh Kanagaraj,147 min,"Action, Thriller, Crime",7.574,2019,"Dilli, a convicted criminal, is out on parole to meet his daughter. However, a drug bust sets him off on a mission to save the life of police officers.",Found,
119,14/11/19,Angel has fallen,English,2019,,,Home,Ric Roman Waugh,122 min,"Action, Thriller",6.598,2019,"After a treacherous attack, Secret Service agent Mike Banning is charged with attempting to assassinate President Trumbull. Chased by his own colleagues and the FBI, Banning begins a race against the clock to clear his name.",Found,
118,13/11/19,Before Sunset,English,2004,,2,Home,Richard Linklater,80 min,"Drama, Romance",7.808,2004,"Nine years later, Jesse travels across Europe giving readings from a book he wrote about the night he spent in Vienna with Celine. After his reading in Paris, Celine finds him, and they spend part of the day together before Jesse has to again leave for a flight. They are both in relationships now, and Jesse has a son, but as their strong feelings for each other start to return, both confess a longing for more.",Found,
117,10/11/19,Before Sunrise,English,1995,,,Home,Richard Linklater,101 min,"Drama, Romance",8.0,1995,"An unexpected meeting on a train leads two travelers to spend an evening wandering through Vienna. As the night unfolds, they share stories and conversations about life and love, exploring new ideas while a quiet intimacy grows between them, knowing it may be their only night together.",Found,
116,04/11/19,Goodfellas,English,1990,,,Home,Martin Scorsese,145 min,"Drama, Crime",8.455,1990,"The true story of Henry Hill, a half-Irish, half-Sicilian Brooklyn kid who is adopted by neighbourhood gangsters at an early age and climbs the ranks of a Mafia family under the guidance of Jimmy Conway.",Found,
115,03/11/19,Chhichhore,Hindi,2019,Good,,Home,Nitesh Tiwari,146 min,"Romance, Comedy, Drama",7.6,2019,Following a group of friends from university as they progress into middle-age life and go their own separate ways.,Found,
114,18/10/19,Sivappu Manjal Pachai,Tamil,2019,,,Home,Sasi,140 min,Thriller,6.0,2019,A street racer and a traffic cop end up becoming brothers-in-law. Can they accept each other given their previous hostile history?,Found,
113,16/10/19,Argo,English,2012,Good,,Home,Ben Affleck,120 min,"Drama, Thriller",7.28,2012,"As the Iranian revolution reaches a boiling point, a CIA 'exfiltration' specialist concocts a risky plan to free six Americans who have found shelter at the home of the Canadian ambassador.",Found,
112,12/10/19,Lion King,English,2019,,,Home,Jon Favreau,118 min,"Adventure, Drama, Family, Animation",7.1,2019,"Simba idolizes his father, King Mufasa, and takes to heart his own royal destiny. But not everyone in the kingdom celebrates the new cub's arrival. Scar, Mufasa's brother—and former heir to the throne—has plans of his own. The battle for Pride Rock is ravaged with betrayal, tragedy and drama, ultimately resulting in Simba's exile. With help from a curious pair of newfound friends, Simba will have to figure out how to grow up and take back what is rightfully his.",Found,0
111,11/10/19,El Camino: A Breaking Bad Movie,English,2019,,,Home,Vince Gilligan,123 min,"Crime, Drama, Thriller",7.042,2019,"In the wake of his dramatic escape from captivity, Jesse Pinkman must come to terms with his past in order to forge some kind of future.",Found,0
110,02/10/19,Annabelle Comes Home,English,2019,,,Home,Gary Dauberman,106 min,Horror,6.408,2019,"Determined to keep Annabelle from wreaking more havoc, demonologists Ed and Lorraine Warren bring the possessed doll to the locked artifacts room in their home, placing her “safely” behind sacred glass and enlisting a priest’s holy blessing. But an unholy night of horror awaits as Annabelle awakens the evil spirits in the room, who all set their sights on a new target—the Warrens' ten-year-old daughter, Judy, and her friends.",Found,
109,02/10/19,Yesterday,English,2019,,,Home,Danny Boyle,116 min,"Comedy, Fantasy, Music, Romance",6.689,2019,A struggling musician realizes he's the only person on Earth who can remember The Beatles after waking up in an alternate reality where the group was forgotten.,Found,0
108,29/09/19,Toy Story 4,English,2019,,,Home,Josh Cooley,100 min,"Family, Comedy, Animation, Adventure",7.5,2019,"Woody has always been confident about his place in the world and that his priority is taking care of his kid, whether that's Andy or Bonnie. But when Bonnie adds a reluctant new toy called ""Forky"" to her room, a road trip adventure alongside old and new friends will show Woody how big the world can be for a toy.",Found,
107,28/09/19,Hobbs & Shaw,English,2019,,,Home,David Leitch,137 min,"Action, Adventure, Comedy",6.847,2019,"Ever since US Diplomatic Security Service Agent Hobbs and lawless outcast Shaw first faced off, they just have traded smack talk and body blows. But when cyber-genetically enhanced anarchist Brixton's ruthless actions threaten the future of humanity, they join forces to defeat him.",Found,
106,15/09/19,Spiderman : Far from home,English,2019,,,Home,Jon Watts,129 min,"Action, Adventure, Science Fiction",7.402,2019,"Peter Parker and his friends go on a summer trip to Europe. However, they will hardly be able to rest - Peter will have to agree to help Nick Fury uncover the mystery of creatures that cause natural disasters and destruction throughout the continent.",Found,
105,11/09/19,Den of Thieves,English,2018,,,Home,Christian Gudegast,140 min,"Action, Crime, Thriller",6.9,2018,A gritty crime saga which follows the lives of an elite unit of the LA County Sheriff's Dept. and the state's most successful bank robbery crew as the outlaws plan a seemingly impossible heist on the Federal Reserve Bank.,Found,
